                    Addison   Ariana   Taylor   Sabrina   Chappell   Doja   Nicki   Megan   Charli   Pantheress   Magdalena   Sza   Phoebe   Fiona   Clairo   Bea   Amaarae   Billie   Rina   Kali   
Addison             0         1        0        0         0          0      0       0       1        0            0           0     0        0       0        0     0         0        0      0      
Ariana              1         0        0        1         0          1      0       1       1        0            0           1     0        0       0        0     0         1        0      1      
Taylor              0         0        0        1         0          0      0       0       0        0            0           0     1        1       1        1     0         0        0      0      
Sabrina             0         1        1        0         1          0      0       0       0        1            0           0     0        0       1        0     0         0        0      0      
Chappell            0         0        0        1         0          0      0       0       1        0            0           0     0        0       0        0     0         0        0      0      
Doja                0         1        0        0         0          0      0       1       0        0            0           0     0        0       0        0     0         0        0      0      
Nicki               0         0        0        0         0          0      0       0       0        0            0           0     0        0       0        0     0         0        0      0      
Megan               0         1        0        0         0          1      0       0       0        0            0           1     0        0       0        0     0         0        0      0      
Charli              1         1        0        0         1          0      0       0       0        1            0           0     0        0       1        0     0         0        1      0      
Pantheress          0         0        0        1         0          0      0       0       1        0            0           0     0        0       0        1     0         0        0      0      
Magdalena           0         0        0        0         0          0      0       0       0        0            0           0     0        0       0        0     0         1        0      0      
Sza                 0         1        0        0         0          0      0       1       0        0            0           0     0        0       0        0     1         0        0      1      
Phoebe              0         0        1        0         0          0      0       0       0        0            0           0     0        1       0        0     0         0        0      0      
Fiona               0         0        1        0         0          0      0       0       0        0            0           0     1        0       0        0     0         0        0      0      
Clairo              0         0        1        1         0          0      0       0       1        0            0           0     0        0       0        0     0         0        0      0      
Bea                 0         0        1        0         0          0      0       0       0        1            0           0     0        0       0        0     0         0        0      0      
Amaarae             0         0        0        0         0          0      0       0       0        0            0           1     0        0       0        0     0         0        0      0      
Billie              0         1        0        0         0          0      0       0       0        0            1           0     0        0       0        0     0         0        0      0      
Rina                0         0        0        0         0          0      0       0       1        0            0           0     0        0       0        0     0         0        0      0      
Kali                0         1        0        0         0          0      0       0       0        0            0           1     0        0       0        0     0         0        0      0      
